,ds,y
592,2024-07-19,271.06
593,2024-07-20,271.06
594,2024-07-21,271.06
595,2024-07-22,273.89
596,2024-07-23,273.69
597,2024-07-24,267.53
598,2024-07-25,266.5
599,2024-07-26,269.69
600,2024-07-27,269.69
601,2024-07-28,269.69
602,2024-07-29,269.71
603,2024-07-30,268.59
604,2024-07-31,272.57
605,2024-08-01,268.3
606,2024-08-02,262.9
607,2024-08-03,262.9
608,2024-08-04,262.9
609,2024-08-05,255.18
610,2024-08-06,257.77
611,2024-08-07,255.8
612,2024-08-08,261.79
613,2024-08-09,262.92
614,2024-08-10,262.92
615,2024-08-11,262.92
616,2024-08-12,262.75
617,2024-08-13,267.12
618,2024-08-14,267.88
619,2024-08-15,272.52
620,2024-08-16,273.17
621,2024-08-17,273.17
622,2024-08-18,273.17
623,2024-08-19,275.75
624,2024-08-20,275.08
625,2024-08-21,276.46
626,2024-08-22,274.12
627,2024-08-23,277.59
628,2024-08-24,277.59
629,2024-08-25,277.59
630,2024-08-26,276.89
631,2024-08-27,277.14
632,2024-08-28,275.45
633,2024-08-29,275.72
634,2024-08-30,278.38
635,2024-08-31,278.38
636,2024-09-01,278.38
637,2024-09-02,278.38
638,2024-09-03,272.39
639,2024-09-04,271.78
640,2024-09-05,270.94
641,2024-09-06,266.44
642,2024-09-07,266.44
643,2024-09-08,266.44
644,2024-09-09,269.29
645,2024-09-10,270.34
646,2024-09-11,273.03
647,2024-09-12,275.3
648,2024-09-13,277.22
649,2024-09-14,277.22
650,2024-09-15,277.22
651,2024-09-16,277.77
652,2024-09-17,278.05
653,2024-09-18,277.35
654,2024-09-19,282.05
655,2024-09-20,281.46
656,2024-09-21,281.46
657,2024-09-22,281.46
658,2024-09-23,282.16
659,2024-09-24,282.87
660,2024-09-25,281.94
661,2024-09-26,283.2
662,2024-09-27,282.05
663,2024-09-28,282.05
664,2024-09-29,282.05
665,2024-09-30,283.16
666,2024-10-01,280.58
667,2024-10-02,280.64
668,2024-10-03,280.04
669,2024-10-04,282.75
670,2024-10-05,282.75
671,2024-10-06,282.75
672,2024-10-07,280.17
673,2024-10-08,282.53
674,2024-10-09,284.5
675,2024-10-10,283.91
676,2024-10-11,286.11
677,2024-10-12,286.11
678,2024-10-13,286.11
679,2024-10-14,288.34
680,2024-10-15,286.36
681,2024-10-16,287.82
682,2024-10-17,287.76
683,2024-10-18,288.89
684,2024-10-19,288.89
685,2024-10-20,288.89
686,2024-10-21,287.98
687,2024-10-22,287.65
688,2024-10-23,285.05
689,2024-10-24,285.81
690,2024-10-25,285.54
691,2024-10-26,285.54
692,2024-10-27,285.54
693,2024-10-28,286.7
694,2024-10-29,287.08
695,2024-10-30,286.37
696,2024-10-31,281.03
697,2024-11-01,282.23
698,2024-11-02,282.23
699,2024-11-03,282.23
700,2024-11-04,281.72
701,2024-11-05,285.3
702,2024-11-06,293.28
703,2024-11-07,295.33
704,2024-11-08,296.71
705,2024-11-09,296.71
706,2024-11-10,296.71
707,2024-11-11,297.54
708,2024-11-12,296.37
709,2024-11-13,296.23
710,2024-11-14,294.04
711,2024-11-15,290.31
712,2024-11-16,290.31
713,2024-11-17,290.31
714,2024-11-18,291.49
715,2024-11-19,292.83
716,2024-11-20,293.0
