,ds,y
483,2024-04-01,2248.96
484,2024-04-02,2279.69
485,2024-04-03,2297.49
486,2024-04-04,2288.92
487,2024-04-05,2329.57
488,2024-04-06,2329.57
489,2024-04-07,2311.33
490,2024-04-08,2338.89
491,2024-04-09,2354.73
492,2024-04-10,2335.47
493,2024-04-11,2376.77
494,2024-04-12,2343.65
495,2024-04-13,2343.65
496,2024-04-14,2364.61
497,2024-04-15,2381.8
498,2024-04-16,2382.44
499,2024-04-17,2367.73
500,2024-04-18,2380.02
501,2024-04-19,2390.01
502,2024-04-20,2390.01
503,2024-04-21,2386.54
504,2024-04-22,2333.86
505,2024-04-23,2323.48
506,2024-04-24,2316.09
507,2024-04-25,2330.65
508,2024-04-26,2337.48
509,2024-04-27,2337.48
510,2024-04-28,2335.82
511,2024-04-29,2333.06
512,2024-04-30,2291.25
513,2024-05-01,2320.41
514,2024-05-02,2303.91
515,2024-05-03,2301.93
516,2024-05-04,2301.93
517,2024-05-05,2293.96
518,2024-05-06,2325.64
519,2024-05-07,2315.13
520,2024-05-08,2308.72
521,2024-05-09,2346.57
522,2024-05-10,2359.97
523,2024-05-11,2359.97
524,2024-05-12,2360.29
525,2024-05-13,2338.26
526,2024-05-14,2355.76
527,2024-05-15,2391.66
528,2024-05-16,2378.03
529,2024-05-17,2414.02
530,2024-05-18,2414.02
531,2024-05-19,2420.3
532,2024-05-20,2426.12
533,2024-05-21,2421.51
534,2024-05-22,2382.22
535,2024-05-23,2331.82
536,2024-05-24,2333.04
537,2024-05-25,2333.04
538,2024-05-26,2337.05
539,2024-05-27,2352.27
540,2024-05-28,2359.94
541,2024-05-29,2338.59
542,2024-05-30,2343.72
543,2024-05-31,2325.76
544,2024-06-01,2325.76
545,2024-06-02,2325.55
546,2024-06-03,2350.39
547,2024-06-04,2328.66
548,2024-06-05,2354.98
549,2024-06-06,2376.68
550,2024-06-07,2293.51
551,2024-06-08,2293.51
552,2024-06-09,2298.46
553,2024-06-10,2309.88
554,2024-06-11,2314.86
555,2024-06-12,2320.46
556,2024-06-13,2302.16
557,2024-06-14,2332.3
558,2024-06-15,2332.3
559,2024-06-16,2328.6
560,2024-06-17,2320.76
561,2024-06-18,2328.24
562,2024-06-19,2329.24
563,2024-06-20,2360.66
564,2024-06-21,2319.04
565,2024-06-22,2319.04
566,2024-06-23,2318.99
567,2024-06-24,2330.66
568,2024-06-25,2319.83
569,2024-06-26,2298.16
570,2024-06-27,2327.46
571,2024-06-28,2326.15
572,2024-06-29,2326.15
573,2024-06-30,2324.66
574,2024-07-01,2332.09
575,2024-07-02,2330.08
576,2024-07-03,2359.0
577,2024-07-04,2356.35
578,2024-07-05,2391.14
579,2024-07-06,2391.14
580,2024-07-07,2385.77
581,2024-07-08,2361.65
582,2024-07-09,2365.01
583,2024-07-10,2372.62
584,2024-07-11,2415.92
585,2024-07-12,2410.93
586,2024-07-13,2410.93
587,2024-07-14,2408.6
588,2024-07-15,2422.37
589,2024-07-16,2468.27
590,2024-07-17,2461.25
591,2024-07-18,2444.91
592,2024-07-19,2400.59
593,2024-07-20,2400.59
594,2024-07-21,2411.37
595,2024-07-22,2395.55
596,2024-07-23,2408.34
597,2024-07-24,2398.63
598,2024-07-25,2364.1
599,2024-07-26,2386.6
600,2024-07-27,2386.6
601,2024-07-28,2396.45
602,2024-07-29,2381.06
603,2024-07-30,2409.62
604,2024-07-31,2445.84
605,2024-08-01,2445.86
606,2024-08-02,2442.08
607,2024-08-03,2442.08
608,2024-08-04,2440.76
609,2024-08-05,2404.79
610,2024-08-06,2384.05
611,2024-08-07,2384.72
612,2024-08-08,2424.66
613,2024-08-09,2430.71
614,2024-08-10,2430.71
615,2024-08-11,2427.83
616,2024-08-12,2475.32
617,2024-08-13,2463.87
618,2024-08-14,2449.26
619,2024-08-15,2457.43
620,2024-08-16,2506.76
621,2024-08-17,2506.76
622,2024-08-18,2506.07
623,2024-08-19,2503.64
624,2024-08-20,2513.16
625,2024-08-21,2512.43
626,2024-08-22,2487.04
627,2024-08-23,2512.01
628,2024-08-24,2512.01
629,2024-08-25,2515.72
630,2024-08-26,2515.58
631,2024-08-27,2525.07
632,2024-08-28,2507.84
633,2024-08-29,2519.37
634,2024-08-30,2502.98
