,TPM_value,TPM_var,TDES_value,TDES_var,IPC_value,IPC_var,PIB_value,PIB_var,BC_value,BC_var
2023-05-31,5.08,0.0,3.603225806451613,-0.089,303982.4193548387,0.006999999999999999,27894579.967032965,0.02,-64846.645161290326,-0.063
2023-06-01,5.08,0.0,3.6,-0.09,304003.0,0.006999999999999999,27900180.516483516,0.02,-64806.0,-0.063
2023-06-02,5.08,0.0,3.5966666666666667,-0.093,304023.8333333333,0.006999999999999999,27905781.065934066,0.02,-64799.36666666667,-0.01
2023-06-03,5.08,0.0,3.5933333333333333,-0.093,304044.6666666667,0.006999999999999999,27911381.615384616,0.02,-64792.73333333333,-0.01
2023-06-04,5.08,0.0,3.59,-0.093,304065.5,0.006999999999999999,27916982.164835166,0.02,-64786.1,-0.01
2023-06-05,5.08,0.0,3.586666666666667,-0.093,304086.3333333333,0.006999999999999999,27922582.714285713,0.02,-64779.46666666667,-0.01
2023-06-06,5.08,0.0,3.5833333333333335,-0.093,304107.1666666667,0.006999999999999999,27928183.263736263,0.02,-64772.833333333336,-0.01
2023-06-07,5.08,0.0,3.58,-0.093,304128.0,0.006999999999999999,27933783.813186813,0.02,-64766.2,-0.01
2023-06-08,5.08,0.0,3.5766666666666667,-0.093,304148.8333333333,0.006999999999999999,27939384.362637363,0.02,-64759.566666666666,-0.01
2023-06-09,5.08,0.0,3.5733333333333333,-0.093,304169.6666666667,0.006999999999999999,27944984.912087914,0.02,-64752.933333333334,-0.01
2023-06-10,5.08,0.0,3.5700000000000003,-0.093,304190.5,0.006999999999999999,27950585.46153846,0.02,-64746.3,-0.01
2023-06-11,5.08,0.0,3.566666666666667,-0.093,304211.3333333333,0.006999999999999999,27956186.01098901,0.02,-64739.666666666664,-0.01
2023-06-12,5.08,0.0,3.5633333333333335,-0.093,304232.1666666667,0.006999999999999999,27961786.56043956,0.02,-64733.03333333333,-0.01
2023-06-13,5.08,0.0,3.56,-0.094,304253.0,0.006999999999999999,27967387.10989011,0.02,-64726.4,-0.01
2023-06-14,5.08,0.0,3.5566666666666666,-0.094,304273.8333333333,0.006999999999999999,27972987.65934066,0.02,-64719.76666666667,-0.01
2023-06-15,5.07,-0.197,3.5533333333333332,-0.094,304294.6666666667,0.006999999999999999,27978588.208791208,0.02,-64713.13333333333,-0.01
2023-06-16,5.08,0.197,3.55,-0.094,304315.5,0.006999999999999999,27984188.758241758,0.02,-64706.5,-0.01
2023-06-17,5.08,0.0,3.546666666666667,-0.094,304336.3333333333,0.006999999999999999,27989789.307692308,0.02,-64699.86666666667,-0.01
2023-06-18,5.08,0.0,3.5433333333333334,-0.094,304357.1666666667,0.006999999999999999,27995389.85714286,0.02,-64693.23333333333,-0.01
2023-06-19,5.08,0.0,3.54,-0.094,304378.0,0.006999999999999999,28000990.40659341,0.02,-64686.6,-0.01
2023-06-20,5.07,-0.197,3.5366666666666666,-0.094,304398.8333333333,0.006999999999999999,28006590.956043955,0.02,-64679.96666666667,-0.01
2023-06-21,5.07,0.0,3.533333333333333,-0.094,304419.6666666667,0.006999999999999999,28012191.505494505,0.02,-64673.333333333336,-0.01
2023-06-22,5.07,0.0,3.5300000000000002,-0.094,304440.5,0.006999999999999999,28017792.054945055,0.02,-64666.7,-0.01
