,v,vw,o,c,h,l,t,n
145,19512.265248204738,30031.6985,29449.91,30393.4,30527.0,29103.89,1681776000000,420390
146,30560.676130949807,29340.424,30392.0,28809.72,30430.72,28577.0,1681862400000,545470
147,23388.003797934798,28592.0689,28809.0,28248.18,29102.69,27991.32,1681948800000,471377
148,25875.07214013698,27826.2131,28248.18,27264.3,28381.0,27133.0,1682035200000,510704
149,10130.336864032974,27487.5037,27252.96,27821.41,27892.2,27133.0,1682121600000,287682
150,8516.152190272107,27563.9427,27820.99,27592.98,27827.0,27333.0,1682208000000,256525
151,17394.267567962903,27453.9944,27592.7,27515.05,28007.0,26965.14,1682294400000,355690
152,16874.08749568411,27655.8248,27513.85,28304.42,28400.0,27189.0,1682380800000,389178
153,44366.465584736085,28790.6243,28300.9,28426.08,30050.66,27230.77,1682467200000,600642
154,32346.01312340123,29241.2799,28428.86,29483.72,29900.0,28387.07,1682553600000,531872
155,19328.84059792601,29294.858,29486.97,29338.63,29606.45,28900.0,1682640000000,425045
156,6842.28078868178,29298.4861,29339.47,29249.35,29470.0,29015.0,1682726400000,240501
157,12423.352569882965,29500.1399,29249.24,29254.0,29975.0,29095.92,1682812800000,280092
158,24613.280175878255,28372.0028,29245.3,28077.27,29348.6,27643.2,1682899200000,463034
159,18112.51231825818,28388.3207,28101.0,28684.4,28937.5,27871.44,1682985600000,409547
160,20602.56611421819,28572.4272,28683.41,29038.75,29282.0,28122.0,1683072000000,434228
161,14289.688415855795,28965.9914,29039.36,28857.23,29412.0,28674.58,1683158400000,354690
162,20151.67155080517,29330.7869,28857.88,29536.76,29706.57,28810.0,1683244800000,415406
163,12658.17752151606,29072.5792,29538.87,28902.66,29868.1,28338.0,1683331200000,317242
164,8361.272513322565,28879.7245,28901.3,28468.0,29191.8,28429.12,1683417600000,242698
165,21675.075861507114,27874.6049,28472.68,27695.06,28686.0,27279.66,1683504000000,458757
166,12994.033853744004,27601.5924,27693.24,27635.0,27846.0,27367.01,1683590400000,331002
167,25592.13642968163,27699.7797,27647.29,27624.01,28340.0,26792.9,1683676800000,412841
168,18370.162118886474,27172.8115,27621.5,26986.56,27654.0,26702.0,1683763200000,367474
169,25956.990815368998,26414.0447,26986.79,26808.84,27125.0,25810.0,1683849600000,451693
170,6680.031552121824,26853.962,26800.0,26786.3,27105.5,26700.0,1683936000000,223919
171,5897.3205293311585,26907.4206,26788.4,26929.98,27221.51,26581.52,1684022400000,218844
172,17056.646549623132,27326.8147,26929.98,27171.13,27678.73,26727.8,1684108800000,346206
173,14548.132909303422,27055.6714,27166.2,27037.68,27313.0,26850.1,1684195200000,308599
174,19046.11721729398,27014.4303,27037.72,27407.77,27532.0,26543.87,1684281600000,337208
175,17927.481109554028,27034.5243,27402.3,26817.9,27506.0,26345.0,1684368000000,333599
176,10047.3639274936,26887.6505,26819.0,26890.27,27219.0,26632.73,1684454400000,270041
177,4337.269055380455,26994.1205,26890.27,27113.61,27178.99,26834.2,1684540800000,171631
178,7869.178017491415,26959.0863,27111.1,26752.65,27297.0,26667.4,1684627200000,195262
179,11107.292726275178,26819.4152,26749.5,26854.73,27130.0,26512.4,1684713600000,257943
180,14824.598577487695,27253.0684,26854.09,27221.5,27543.0,26803.46,1684800000000,309837
181,21877.212701425156,26482.5893,27222.86,26321.4,27239.0,26067.0,1684886400000,368433
182,15340.26441163546,26292.6133,26321.42,26479.06,26644.0,25864.35,1684972800000,315357
183,13750.19948724065,26664.7272,26479.15,26736.0,26950.0,26334.33,1685059200000,282783
184,5205.7141697810175,26737.0623,26711.56,26873.7,26943.6,26554.8,1685145600000,169934
185,14971.238493283887,27489.5636,26873.7,28070.04,28277.56,26780.11,1685232000000,263115
186,15110.209850128836,27948.5631,28070.04,27744.82,28475.0,27534.81,1685318400000,288778
187,15964.481932342085,27808.4942,27744.81,27699.2,28069.0,27555.0,1685404800000,316561
188,20024.682809454822,27157.1419,27700.68,27223.08,27856.0,26841.3,1685491200000,363755
189,15624.627721330367,26909.3725,27215.1,26828.42,27360.31,26571.5,1685577600000,355590
190,15817.393506223014,27045.0053,26832.0,27250.69,27312.2,26500.1,1685664000000,344226
191,5092.018436740317,27156.4247,27252.67,27077.6,27344.6,26923.35,1685750400000,185655
192,5480.958993490616,27196.3821,27078.27,27126.0,27489.0,26958.98,1685836800000,185851
193,25268.38098465086,26127.4563,27122.03,25741.5,27137.75,25391.0,1685923200000,506710
194,26219.780620328514,26311.4569,25742.0,27243.63,27368.67,25331.0,1686009600000,498043
195,22394.40500206427,26651.9431,27243.45,26346.41,27402.79,26121.06,1686096000000,413278
196,11347.771070794155,26496.442,26347.09,26506.7,26845.0,26212.63,1686182400000,305077
197,13009.200842117873,26526.5914,26505.71,26482.81,26804.0,26275.4,1686268800000,350925
198,23209.88243884472,25792.5711,26482.8,25856.1,26556.0,25385.52,1686355200000,548283
199,10671.399004254463,25888.1458,25856.1,25937.02,26233.0,25648.0,1686441600000,284371
200,12999.085856006695,25859.2624,25936.98,25905.82,26125.0,25616.98,1686528000000,331770
201,17855.17477048523,26011.4646,25927.0,25930.23,26455.0,25710.78,1686614400000,420326
202,19928.7054278075,25537.7187,25929.35,25123.34,26113.0,24818.0,1686700800000,424409
203,24162.28738188538,25138.1662,25124.0,25569.99,25766.0,24750.0,1686787200000,555347
204,21407.07719975411,25885.1554,25569.99,26329.6,26570.0,25140.0,1686873600000,469884
205,9792.274539664142,26490.9939,26329.6,26506.56,26857.0,26165.98,1686960000000,289272
206,7100.6741179220035,26506.4401,26507.97,26336.46,26729.0,26245.27,1687046400000,213143
207,14144.69529970422,26608.1767,26336.46,26837.78,27075.0,26250.0,1687132800000,309417
208,38390.596724384275,27533.1501,26858.0,28320.43,28417.11,26637.41,1687219200000,499064
209,44384.067834447866,29487.1577,28320.41,29995.08,30801.0,28271.67,1687305600000,634973
210,26202.76174347193,30075.8069,29999.85,29886.31,30527.0,29539.57,1687392000000,502948
211,31244.359926668683,30607.6584,29886.25,30707.61,31443.67,29802.65,1687478400000,546348
212,9623.04634108292,30607.1793,30687.7,30547.18,30820.0,30254.6,1687564800000,258632
213,8909.245022132367,30633.9997,30547.3,30480.24,31070.0,30250.0,1687651200000,249243
214,16345.89278619019,30276.9845,30480.24,30264.2,30685.0,29900.0,1687737600000,358429
215,16409.937258682614,30623.5859,30272.24,30697.38,31020.54,30223.6,1687824000000,346245
216,13861.890732947553,30246.1483,30696.06,30074.94,30731.0,29834.2,1687910400000,364904
217,16071.586503792712,30503.4538,30074.93,30450.6,30849.0,30036.18,1687996800000,348932
218,35670.901109556755,30422.1243,30445.67,30466.72,31300.0,29375.6,1688083200000,599232
219,5668.988561250497,30524.2442,30475.0,30587.21,30689.0,30312.8,1688169600000,221445
220,6257.883407050745,30535.8571,30591.7,30613.51,30830.0,30165.39,1688256000000,229406
221,15271.621762194267,30951.3302,30622.7,31161.8,31416.0,30569.0,1688342400000,367504
222,10579.804887839318,30992.0087,31145.0,30771.25,31347.0,30622.6,1688428800000,287370
223,12416.592969233187,30489.0034,30781.9,30499.27,30898.0,30160.4,1688515200000,290957
224,24227.16805427962,30583.8567,30499.27,29899.38,31631.0,29850.0,1688601600000,436446
225,14694.198581175911,30199.4493,29929.0,30352.08,30469.0,29699.0,1688688000000,310542
226,4961.0467279406175,30222.8498,30339.1,30291.69,30406.0,30047.78,1688774400000,174022
227,5233.561888120906,30268.2072,30294.3,30168.38,30474.0,30066.95,1688860800000,173650
228,16471.34854785529,30409.234,30168.26,30419.89,31060.0,29955.0,1688947200000,312772
229,13116.437772481968,30524.395,30419.89,30626.55,30836.0,30304.45,1689033600000,285237
230,18463.20537516335,30601.7395,30623.9,30381.81,31000.0,30200.0,1689120000000,310748
231,33792.50515539889,31040.7128,30383.26,31471.83,31862.21,30217.1,1689206400000,451054
232,25827.075092995274,30824.3005,31471.83,30330.52,31663.0,29920.31,1689292800000,442623
233,3556.333953780876,30322.9329,30330.93,30301.65,30419.0,30254.67,1689379200000,192814
234,5357.030840950639,30296.444,30316.0,30247.64,30484.0,30069.0,1689465600000,190838
235,14200.084152763306,30107.7103,30239.3,30143.08,30353.0,29668.58,1689552000000,276445
236,14463.178180723802,29893.7337,30143.08,29861.93,30269.0,29500.0,1689638400000,284568
237,11104.748993392475,29978.3476,29861.92,29916.72,30221.0,29757.44,1689724800000,250088
238,14983.417181682817,29960.5451,29912.7,29809.13,30438.0,29564.19,1689811200000,279441
239,10002.798110821392,29871.8383,29797.9,29940.0,30091.0,29720.3,1689897600000,255929
240,4458.036812860215,29859.1178,29907.15,29821.0,30035.0,29626.86,1689984000000,160633
241,5846.190663720914,30016.1878,29766.7,30081.61,30380.0,29733.55,1690070400000,167707
242,18669.30506199228,29263.1102,30082.4,29176.98,30125.0,28850.0,1690156800000,316870
243,8707.846446461695,29203.362,29176.98,29225.14,29404.0,29046.0,1690243200000,236542
244,12414.496458241445,29341.1556,29225.11,29353.23,29721.0,29089.54,1690329600000,273561
245,9325.62334759181,29326.0293,29336.1,29214.92,29601.0,29071.7,1690416000000,232193
246,8528.842487050853,29289.0794,29214.93,29316.15,29578.0,29112.8,1690502400000,251017
247,3673.0643958601063,29327.239,29316.05,29355.71,29444.0,29253.44,1690588800000,177287
248,5324.445119430477,29267.8746,29360.5,29281.39,29488.0,29033.0,1690675200000,180620
249,10691.259022521295,29301.6619,29280.41,29230.67,29560.0,29102.65,1690761600000,246421
250,22241.788804542226,29042.3898,29227.6,29697.27,29755.0,28477.0,1690848000000,356504
251,22043.70679524385,29400.0259,29733.0,29164.22,30076.0,28903.79,1690934400000,349836
252,11459.867402137947,29190.3295,29152.3,29174.18,29442.0,28938.93,1691020800000,255399
253,9087.980591851609,29127.2272,29187.2,29076.48,29337.0,28747.1,1691107200000,254219
254,3315.8402369599776,29033.1871,29073.0,29047.1,29153.0,28946.17,1691193600000,158553
255,3303.791016160187,29049.741,29047.33,29040.01,29198.0,28952.1,1691280000000,145580
256,12296.219336620945,28993.0428,29040.01,29179.21,29289.0,28628.9,1691366400000,264425
257,20377.372964741095,29623.0728,29179.0,29770.01,30284.0,29104.65,1691452800000,357328
258,14079.43509435958,29709.3424,29766.6,29562.76,30170.0,29344.16,1691539200000,287478
259,10023.34769761284,29487.3622,29597.0,29424.03,29745.0,29306.0,1691625600000,248987
260,8096.4004259411195,29384.6692,29424.04,29400.45,29557.0,29208.1,1691712000000,226105
261,2492.4863888601462,29414.0008,29399.0,29416.96,29497.0,29349.98,1691798400000,144713
262,2890.8231689202344,29366.5849,29412.5,29275.94,29477.0,29247.15,1691884800000,140183
263,9101.782905751814,29396.9184,29315.0,29405.49,29689.0,29072.96,1691971200000,235181
264,7503.032885700751,29270.9816,29405.49,29170.14,29499.0,29046.58,1692057600000,235658
265,12211.064930092502,29026.7721,29200.0,28700.51,29255.0,28690.37,1692144000000,286662
266,38641.14783436029,27563.7812,28729.0,26627.57,28779.0,24713.0,1692230400000,663658
267,26342.97870755496,26236.9207,26627.21,26048.89,26834.37,25607.1,1692316800000,530269
268,7832.977927251492,26021.7181,26048.9,26096.42,26288.0,25793.11,1692403200000,229341
269,5528.788231450634,26128.643,26096.4,26189.14,26314.0,25975.01,1692489600000,171239
270,12080.833109381849,26040.3806,26189.36,26125.18,26279.0,25807.3,1692576000000,257592
271,15130.652898756014,25874.8254,26125.16,26040.4,26156.0,25350.0,1692662400000,313203
272,19335.25241160595,26292.4401,26040.5,26427.54,26840.0,25796.47,1692748800000,329845
273,12251.075807504776,26213.4469,26417.5,26163.49,26599.0,25850.0,1692835200000,310255
274,13627.25715478573,26013.7563,26160.0,26049.8,26326.0,25750.0,1692921600000,289848
275,2428.6151377800015,26038.0569,26049.4,26009.61,26192.0,25971.44,1693008000000,135928
276,2641.8155278200265,26080.3422,26002.4,26091.16,26198.0,25961.81,1693094400000,123315
277,7495.415498601789,26039.5871,26091.16,26109.6,26264.0,25850.0,1693180800000,199756
278,28801.74250841158,27346.5554,26109.6,27717.98,28193.0,25903.18,1693267200000,424186
279,13116.56946325353,27336.4857,27749.0,27306.06,27793.0,27005.2,1693353600000,266719
280,20462.049334663145,26603.9336,27326.0,25932.45,27605.5,25660.61,1693440000000,342178
281,19587.91629530504,25783.1462,25936.3,25794.88,26166.0,25307.37,1693526400000,363104
282,5599.54531629039,25830.6124,25808.3,25869.7,25995.0,25707.3,1693612800000,187602
283,4507.97003508028,25937.0147,25869.7,25969.83,26137.0,25792.29,1693699200000,149894
284,6209.08498182062,25862.5198,25969.4,25816.13,26100.0,25627.0,1693785600000,181511
285,8015.552952651303,25730.1659,25806.3,25783.91,25909.0,25551.36,1693872000000,214944
286,11669.671648812791,25687.6834,25788.8,25747.63,26067.0,25358.0,1693958400000,248172
287,14267.79248401322,25951.9692,25747.63,26276.3,26487.7,25595.8,1694044800000,244753
288,14189.402185534143,25997.8351,26274.0,25906.34,26460.41,25640.1,1694131200000,242407
289,2829.6755997102314,25872.6056,25905.3,25891.3,25950.0,25791.45,1694217600000,129138
290,5827.520567851061,25798.8284,25891.3,25831.76,26042.0,25578.01,1694304000000,149445
291,17908.90558831693,25290.8491,25831.77,25152.14,25904.0,24900.0,1694390400000,285826
292,25906.862011178222,25968.9027,25163.4,25840.61,26575.0,25120.76,1694476800000,353976
293,13871.095750043589,26143.0919,25839.95,26226.65,27212.0,25763.43,1694563200000,238349
294,18076.43217570317,26529.0483,26238.0,26532.76,26869.06,26128.25,1694649600000,276191
295,12984.52418452192,26485.1468,26535.5,26602.42,26910.0,26213.96,1694736000000,259367
296,4955.600235679828,26575.3745,26610.1,26569.69,26792.0,26453.32,1694822400000,172717
297,3981.5119427502163,26521.929,26575.0,26530.95,26634.0,26405.04,1694908800000,141619
298,23409.416034508627,27004.2445,26543.0,26764.49,27468.1,26382.13,1694995200000,324373
299,18876.088876450194,27148.2599,26758.3,27216.13,27508.0,26666.93,1695081600000,297338
300,15216.856085745956,27110.7341,27216.52,27123.94,27414.0,26798.98,1695168000000,276108
301,15860.777258264943,26690.1606,27135.1,26567.6,27167.0,26358.2,1695254400000,263861
302,11976.665982702314,26610.8776,26567.6,26578.4,26749.0,26467.94,1695340800000,222913
303,4036.447193950329,26587.0557,26578.4,26579.6,26810.0,26500.0,1695427200000,145784
304,7344.407919350665,26496.8145,26579.59,26250.24,26768.0,26118.86,1695513600000,165573
305,14875.143177963193,26203.5428,26293.0,26296.08,26466.0,25983.78,1695600000000,252466
